item_no,item_name,source_id,evidence_id,claim_id,subject_uri,claim,relation,object_uri,date_value,date_precision,date_value_status,has_estimation,claim_status,date_status,verification_status,review_flag,source_title,source_url,evidence_note,change_history,verification_date
1,오산학교,SRC-101,EVD-101,CLM-OSAN-01,:이승훈,이승훈이 오산학교를 설립하였다.,설립,:오산학교,1907-12,Month,source_stated,false,confirmed,verified,directly_verified,none,오산고등학교,https://encykorea.aks.ac.kr/Article/E0038302,1907년 12월 이승훈이 오산학교를 설립,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — review_flag=relationship_issue가 있으나 claim_status=confirmed는 그대로 근거가 충분함을 의미하므로 Core에 유지(review_flag와 claim_status는 독립축, Rule G-05). CLM-OSAN-02(개교)만 보류로 분리",2026-08-29
2,대성학교,SRC-002,EVD-002,CLM-002,:안창호,안창호가 평양에 대성학교를 설립하였다.,설립,:대성학교,,,,false,confirmed,not_directly_verified,directly_verified,none,대성학교,https://encykorea.aks.ac.kr/Article/E0014519,,"v9.1 pre-TTL cleanup; retained with direct source/evidence | v9.3: 유지 — 대성학교 설립 관련 중복 가능 Claim(CLM-002/CLM-011)으로 식별됨. 지금 병합하면 개별 Evidence를 잃으므로, 두 Claim과 Evidence를 각각 보존한 채 '동일 Claim+복수 Evidence' 통합 여부는 후속 provenance 정리 과제로 유보 | v9.5: date_status 공란→not_directly_verified 정합화. 대성학교 설립은 특정 시점에 일어난 사건이나, 정확한 날짜를 직접 확인하지 못함",2026-08-29
6,신흥강습소,SRC-115,EVD-115,CLM-003,:이회영,이회영 등이 신흥강습소를 설립하였다.,설립,:신흥강습소,1911-04,Month,source_stated,false,confirmed,verified,directly_verified,none,독립군 아내들의 헌신,https://contents.history.go.kr/front/hm/view.do?levelId=hm_126_0050,1911년 4월 이회영·이시영 형제와 이동녕·이상룡 등이 삼원보에 기지를 마련하고 신흥강습소를 설립,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.4: claim 문장을 subject_uri(:이회영)→relation(설립)→object_uri(:신흥강습소) 방향에 맞춰 능동태로 수정. 실제 공동설립자(이회영·이시영·이동녕·이상룡) 전원을 주어에 넣으면 다중 주체 문제가 생기므로 '등'으로 대표 표기, 개별 인물의 별도 공동설립 Claim은 후속 확장 대상",2026-08-29
7,신민회,SRC-001,EVD-001,CLM-001,:신민회,신민회는 1907년 서울에서 조직된 비밀결사이다.,조직,,1907,Year,source_stated,false,confirmed,verified,directly_verified,none,신민회,https://encykorea.aks.ac.kr/Article/E0032974,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
9,북로군정서,SRC-112,EVD-112,CLM-022b,:북로군정서,북로군정서는 김좌진이 주도한 독립군 조직이다.,조직관계,:김좌진,,,,false,confirmed,not_applicable,directly_verified,none,북로군정서,https://encykorea.aks.ac.kr/Article/E0024657,서일·김좌진 등이 주도한 독립군 조직,"v9.1 pre-TTL cleanup; split from combined draft row | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지 | v9.4: claim 문장에서 '서일·'을 제거해 object_uri(:김좌진) 단독과 일치시킴. 서일과 북로군정서의 관계는 별도 Claim CLM-022a(item 43)가 이미 담당하므로 정보 손실 없음. Claim 수를 늘리지 않는 방안(A) 채택 | v9.5: date_status 공란→not_applicable 정합화. 북로군정서를 '주도한 조직'이라는 조직 성격 서술, 특정 시점의 사건이 아님",2026-08-29
10,대한민국임시정부,SRC-004,EVD-004,CLM-004,:대한민국임시정부,대한민국임시정부가 1919년 수립되었다.,수립,,1919,Year,source_stated,false,confirmed,verified,directly_verified,none,대한민국 임시정부,https://encykorea.aks.ac.kr/Article/E0015017,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
11,조선물산장려회,SRC-103,EVD-103,CLM-JOSEON-01,:조선물산장려회_평양,평양의 조선물산장려회는 1920년 8월에 조직되었다.,조직,:평양,1920-08,Month,source_stated,false,confirmed,verified,directly_verified,none,조선물산장려회,https://encykorea.aks.ac.kr/Article/E0052021,조만식·오윤선·김동원·김보애 등 70인이 발기·조직,"v9.1 pre-TTL cleanup; retained; exact day claim removed | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
13,보성사,SRC-108,EVD-108,CLM-039-01,:이종일,이종일은 1919년 당시 보성사 사장이었다.,역임,:보성사,1919,Year,source_stated,false,confirmed,verified,directly_verified,none,보성사,https://encykorea.aks.ac.kr/Article/E0023417,사장 이종일; 독립선언서를 인쇄,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
14,3·1운동,SRC-006,EVD-006,CLM-006,:3.1운동,3·1운동은 독립만세운동이다.,해당,,,,,false,confirmed,not_applicable,directly_verified,none,3·1운동,https://encykorea.aks.ac.kr/Article/E0026772,,"v9.1 pre-TTL cleanup; provenance retained | v9.2: 컬럼 밀림(shift) 버그 수정 — CLM-006-DATE와 동일 구조로 재정렬 | v9.3: 수정 보류 — relation='해당'이 RDF 관계로는 의미가 약함. Claim 자체는 Core에 유지하되, event classification(예: rdf:type 기반 사건성격 속성)으로 재모델링하는 것을 relation vocabulary 정규화 후속 과제로 남김 | v9.5: date_status 공란→not_applicable 정합화. 3·1운동의 사건 성격을 규정하는 서술(독립만세운동이다)일 뿐, 특정 시점을 주장하지 않음",2026-08-29
14,3·1운동,SRC-006,EVD-006,CLM-006-DATE,:3.1운동,3·1운동은 1919년 3월 1일에 발생하였다.,발생,,1919-03-01,Day,source_stated,false,confirmed,verified,directly_verified,none,3·1운동,https://encykorea.aks.ac.kr/Article/E0026772,1919년 3월 1일을 기해 일어난 독립만세운동,"v9.1 pre-TTL cleanup; event date kept as separate Claim | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
15,안악사건,SRC-007,EVD-007,CLM-007,:안악사건,안악사건은 일제가 민족운동 세력을 탄압한 사건이다.,related_to,,1910-11,Month,source_stated,false,confirmed,verified,directly_verified,none,안악사건,https://encykorea.aks.ac.kr/Article/E0034866,"안명근이 서간도 무관학교 설립자금을 모집하다가 관련자들과 검거된 사건, 1910년 11월","v9.2: cleaned/exclusion 양쪽에서 누락되어 있던 item_no 15를 원본 근거(E0034866)로 복원 — 제외 사유가 아니라 취합 누락이었음 | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
16,105인사건,SRC-008,EVD-008,CLM-008,:105인사건,105인 사건은 1911년 일제가 민족주의·기독교계 항일세력을 탄압하기 위해 조작한 사건이다.,related_to,,1911,Year,source_stated,false,confirmed,verified,directly_verified,none,105인 사건,https://encykorea.aks.ac.kr/Article/E0022233,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
17,봉오동전투,SRC-107,EVD-107,CLM-EVENT-017,:봉오동전투,봉오동전투는 1920년 6월에 발생하였다.,발생,,1920-06,Month,source_stated,false,confirmed,verified,directly_verified,none,봉오동전투,https://encykorea.aks.ac.kr/Article/E0023974,1920년 만주 봉오동에서 독립군이 일본군을 대패시킨 전투,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 근거·표현 모두 이상 없음, claim_core.csv 유지",2026-08-29
19,물산장려운동,SRC-010,EVD-010,CLM-010,:조선물산장려운동,조선물산장려운동은 1920년대 초부터 전개된 경제자립운동이다.,related_to,,,,,false,confirmed,not_applicable,directly_verified,none,조선물산장려운동,https://encykorea.aks.ac.kr/Article/E0052020,조선물산장려회와는 별개 항목,"v9.1 pre-TTL cleanup; provenance retained | v9.2: 비표준 precision(Decade) 재제거 | v9.3: 수정 확인 — 비표준 date_precision(Decade)이 이미 제거된 상태임을 재확인. Claim 자체('조선물산장려운동이 1920년대 초부터 전개되었다')는 Core에 유지하고, 근거 없는 날짜 assertion만 배제한 것이지 Claim을 제외한 것이 아님(Rule G-03) | v9.4: date_status를 verified→not_applicable로 정정 — date_value가 없는데 '검증됨'이라고 한 것은 논리 오류. 신규 vocab 'not_applicable'=날짜 assertion 자체가 이 Claim에 없음. (CLM-046/035/KIM-01/KIM-02/047의 not_directly_verified는 유지 — 이들은 '날짜가 있을 법한데 아직 못 찾음'이라는 다른 의미이므로 오류 아님)",2026-08-29
21,안창호,SRC-011,EVD-011,CLM-011,:안창호,안창호는 대성학교를 설립하였다.,설립,:대성학교,,,,false,confirmed,not_directly_verified,directly_verified,none,안창호,https://encykorea.aks.ac.kr/Article/E0035050,,"v9.1 pre-TTL cleanup; provenance retained | v9.3: 유지 — 대성학교 설립 관련 중복 가능 Claim(CLM-002/CLM-011)으로 식별됨. 지금 병합하면 개별 Evidence를 잃으므로, 두 Claim과 Evidence를 각각 보존한 채 '동일 Claim+복수 Evidence' 통합 여부는 후속 provenance 정리 과제로 유보 | v9.5: date_status 공란→not_directly_verified 정합화. 대성학교 설립은 특정 시점에 일어난 사건이나, 정확한 날짜를 직접 확인하지 못함",2026-08-29
22,조만식,SRC-012,EVD-012,CLM-012,:조만식,조만식은 1920년 평양 조선물산장려회 조직에 참여하였다.,참여,:조선물산장려회_평양,1920,Year,source_stated,false,confirmed,verified,directly_verified,none,조만식,https://encykorea.aks.ac.kr/Article/E0051729,,"v9.1 pre-TTL cleanup; normalized object URI to place-specific entity | v9.3: 수정 확인 — object_uri가 이미 :조선물산장려회_평양(평양 지역 엔티티)로 정규화되어 있음을 재확인, 추가 변경 없음",2026-08-29
